Group B,United States,FW,Jesús Ferreira,FC Dallas,United States,38,18,6,2952,0,0.732,0
Group D,Denmark,FW,Yussuf Poulsen,RB Leipzig,Germany,11,2,0,247,0,0.729,0
Group G,Serbia,MF,Sergej Milinković-Savić,Lazio,Italy,20,5,7,1489,0,0.725,0
Group A,Qatar,FW,Almoez Ali,Al-Duhail,Qatar,182,52,50,12772,0,0.719,0
Group E,Spain,FW,Ferran Torres,Barcelona,Spain,18,5,1,751,0,0.719,0
Group C,Mexico,FW,Rogelio Funes Mori,Monterrey,Mexico,13,5,2,882,0,0.714,0
Group G,Cameroon,MF,Olivier Ntcham,Swansea City,Wales,20,5,2,888,0,0.709,0
Group G,Switzerland,MF,Christian Fassnacht,Young Boys,Switzerland,13,4,3,893,0,0.705,0
Group E,Japan,FW,Shuto Machino,Shonan Bellmare,Japan,39,15,2,2191,0,0.698,0
Group F,Canada,MF,Stephen Eustáquio,Porto,Portugal,19,5,5,1289,0,0.698,0
Group B,England,FW,Marcus Rashford,Manchester United,England,19,8,3,1423,0,0.696,0
Group H,Ghana,MF,Osman Bukari,Red Star Belgrade,Serbia,24,7,5,1555,0,0.695,0
Group B,England,FW,Bukayo Saka,Arsenal,England,20,5,6,1435,0,0.69,0
Group D,France,FW,Kingsley Coman,Bayern Munich,Germany,14,1,5,785,0,0.688,0
Group E,Japan,FW,Daizen Maeda,Celtic,Scotland,22,4,4,1047,0,0.688,0
Group H,Uruguay,FW,Luis Suárez,Nacional,Uruguay,61,21,6,3530,0,0.688,0
Group A,Netherlands,FW,Memphis Depay,Barcelona,Spain,3,1,0,131,0,0.687,0
Group E,Costa Rica,MF,Jewison Bennette,Sunderland,England,16,3,2,659,0,0.683,0
Group G,Serbia,FW,Dušan Tadić,Ajax,Netherlands,20,3,10,1713,0,0.683,0
Group H,Uruguay,MF,Federico Valverde,Real Madrid,Spain,20,8,4,1612,0,0.67,0
Group B,United States,FW,Josh Sargent,Norwich City,England,20,9,2,1481,0,0.668,0
Group F,Morocco,FW,Abderrazak Hamdallah,Al-Ittihad,Saudi Arabia,6,4,0,540,0,0.667,0
Group F,Belgium,FW,Loïs Openda,Lens,France,15,7,0,950,0,0.663,0
Group C,Mexico,FW,Hirving Lozano,Napoli,Italy,19,4,3,955,0,0.66,0
Group D,France,FW,Karim Benzema,Real Madrid,Spain,12,6,1,954,0,0.66,0
Group G,Brazil,FW,Pedro,Flamengo,Brazil,18,4,3,956,0,0.659,0
Group G,Serbia,DF,Filip Mladenović,Legia Warsaw,Poland,15,5,5,1368,0,0.658,0
Group G,Switzerland,FW,Ruben Vargas,FC Augsburg,Germany,12,1,3,554,0,0.65,0
Group H,Uruguay,FW,Facundo Torres,Orlando City SC,United States,40,13,10,3188,0,0.649,0
Group A,Senegal,FW,Bamba Dieng,Marseille,France,6,1,0,139,0,0.647,0
Group E,Japan,MF,Kaoru Mitoma,Brighton & Hove Albion,England,11,2,1,419,0,0.644,0
Group H,Uruguay,FW,Maxi Gómez,Trabzonspor,Turkey,14,2,4,844,0,0.64,0
